run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec
run_48_repetition_0,DONE,n_body_simulation/n_body_simulation_G1.py,1.004,0,2.401,2.401,2.401,17.052,38.389,results_1,n_body_simulation,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_48_repetition_0/energibridge.log,1.0035465540885924,0.4329483,1.004,0
run_49_repetition_0,DONE,n_body_simulation/n_body_simulation_G12.py,4.302,0,2.93,3.395,2.559,37.962,38.883,results_1,n_body_simulation,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_49_repetition_0/energibridge.log,4.302386816740035,1.4960301,4.302,0
run_50_repetition_0,DONE,n_body_simulation/n_body_simulation_G14.py,1.009,0,2.409,2.409,2.409,21.024,38.393,results_1,n_body_simulation,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_50_repetition_0/energibridge.log,1.009350687265396,0.43435892,1.009,0
run_51_repetition_0,DONE,n_body_simulation/n_body_simulation_G3.py,1.062,0,2.534,2.534,2.534,18.7,38.379,results_1,n_body_simulation,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_51_repetition_0/energibridge.log,1.0618634457588194,0.4568319,1.062,0
run_52_repetition_0,DONE,n_body_simulation/n_body_simulation_G4.py,1.068,0,2.593,2.593,2.593,18.465,38.388,results_1,n_body_simulation,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_52_repetition_0/energibridge.log,1.0681111669540404,0.44276,1.068,0
run_53_repetition_0,DONE,n_body_simulation/n_body_simulation_G6.py,0.985,0,2.422,2.513,2.392,16.586,38.349,results_1,n_body_simulation,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_53_repetition_0/energibridge.log,0.9854717645645142,0.43009064,0.985,0
run_54_repetition_0,DONE,n_body_simulation/n_body_simulation_G7.py,0.93,0,2.316,2.455,2.269,18.374,38.39,results_1,n_body_simulation,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_54_repetition_0/energibridge.log,0.9302782917022704,0.43042067,0.93,0
run_55_repetition_0,DONE,n_body_simulation/n_body_simulation_G9.py,0.979,0,2.375,2.407,2.365,17.73,38.404,results_1,n_body_simulation,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_55_repetition_0/energibridge.log,0.9789702372550964,0.43338677,0.979,0
run_56_repetition_0,DONE,n_body_simulation/n_body_simulation_OPTIMIZED.py,0.958,0,2.359,2.46,2.325,16.925,38.355,results_1,n_body_simulation,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_56_repetition_0/energibridge.log,0.9577274322509766,0.42974153,0.958,0
run_57_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization.py,336.413,0,9.669,12.687,2.287,20.088,38.804,results_1,sequential_minimum_optimization,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_57_repetition_0/energibridge.log,336.41334400820733,34.678074,336.413,0
run_58_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_G1.py,335.566,0,9.478,10.951,2.502,19.789,38.835,results_1,sequential_minimum_optimization,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_58_repetition_0/energibridge.log,335.56632670569405,35.299835,335.566,0
run_59_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_G14.py,339.168,0,9.523,11.486,2.208,19.638,38.858,results_1,sequential_minimum_optimization,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_59_repetition_0/energibridge.log,339.16751153922064,35.50427,339.168,0
run_60_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_G3.py,323.47,0,9.475,11.51,2.334,19.639,38.892,results_1,sequential_minimum_optimization,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_60_repetition_0/energibridge.log,323.4700741720199,34.024628,323.47,0
run_61_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_G4.py,335.855,0,9.485,11.77,2.328,20.427,39.108,results_1,sequential_minimum_optimization,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_61_repetition_0/energibridge.log,335.85492427897435,35.29464,335.855,0
run_62_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_G6.py,336.218,0,9.496,11.614,2.311,19.9,39.242,results_1,sequential_minimum_optimization,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_62_repetition_0/energibridge.log,336.21803891325015,35.2913,336.218,0
run_63_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_G7.py,29.014,0,7.612,12.787,3.101,19.236,39.055,results_1,sequential_minimum_optimization,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_63_repetition_0/energibridge.log,29.014043734312057,3.8138614,29.014,0
run_64_repetition_0,DONE,sequential_minimum_optimization/sequential_minimum_optimization_OPTIMIZED.py,13.636,0,5.286,11.74,2.371,21.357,38.866,results_1,sequential_minimum_optimization,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_64_repetition_0/energibridge.log,13.63637401294708,2.7339005,13.636,0
run_65_repetition_0,DONE,sol1/sol1.py,0.959,0,2.299,2.299,2.299,20.87,38.568,results_1,sol1,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_65_repetition_0/energibridge.log,0.9588495397567748,0.4351165,0.959,0
run_66_repetition_0,DONE,sol1/sol1_G1.py,0.938,0,2.321,2.321,2.321,24.822,38.596,results_1,sol1,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_66_repetition_0/energibridge.log,0.9376399250030518,0.4386088,0.938,0
run_67_repetition_0,DONE,sol1/sol1_G12.py,80.666,0,11.635,15.486,2.199,25.236,39.508,results_1,sol1,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_67_repetition_0/energibridge.log,80.6661287240982,6.8834734,80.666,0
run_68_repetition_0,DONE,sol1/sol1_G14.py,0.968,0,2.316,2.316,2.316,17.765,38.595,results_1,sol1,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_68_repetition_0/energibridge.log,0.968131046295166,0.4377301,0.968,0
run_69_repetition_0,DONE,sol1/sol1_G3.py,0.952,0,2.282,2.282,2.282,18.515,38.579,results_1,sol1,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_69_repetition_0/energibridge.log,0.9515541594028472,0.4323301,0.952,0
run_70_repetition_0,DONE,sol1/sol1_G4.py,0.961,0,2.305,2.305,2.305,15.629,38.614,results_1,sol1,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_70_repetition_0/energibridge.log,0.9610445466041564,0.43813327,0.961,0
run_71_repetition_0,DONE,sol1/sol1_G6.py,0.938,0,2.282,2.282,2.282,21.241,38.594,results_1,sol1,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_71_repetition_0/energibridge.log,0.9378788030147552,0.45149907,0.938,0
run_72_repetition_0,DONE,sol1/sol1_G7.py,0.91,0,2.183,2.183,2.183,14.831,38.624,results_1,sol1,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_72_repetition_0/energibridge.log,0.9104711036682128,0.43610796,0.91,0
run_73_repetition_0,DONE,sol1/sol1_G9.py,0.949,0,2.276,2.276,2.276,17.836,38.651,results_1,sol1,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_73_repetition_0/energibridge.log,0.9492400467395784,0.43304658,0.949,0
run_74_repetition_0,DONE,sol1/sol1_OPTIMIZED.py,79.041,0,11.426,15.378,2.172,24.921,39.524,results_1,sol1,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_74_repetition_0/energibridge.log,79.04111416673665,6.865463,79.041,0
run_75_repetition_0,DONE,sol1_problem180/sol1_problem180.py,1.24,0,3.029,3.133,2.995,17.103,38.659,results_1,sol1_problem180,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_75_repetition_0/energibridge.log,1.2397635354995726,0.43266,1.24,0
run_76_repetition_0,DONE,sol1_problem180/sol1_problem180_G1.py,0.946,0,2.309,2.463,2.258,18.844,38.658,results_1,sol1_problem180,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_76_repetition_0/energibridge.log,0.9461400177478788,0.43557683,0.946,0
run_77_repetition_0,DONE,sol1_problem180/sol1_problem180_G12.py,0.468,0,2.23,2.23,2.23,35.26,38.642,results_1,sol1_problem180,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_77_repetition_0/energibridge.log,0.4683304452896118,0.23001358,0.468,0
run_78_repetition_0,DONE,sol1_problem180/sol1_problem180_G14.py,1.422,0,2.32,2.547,2.264,19.483,38.653,results_1,sol1_problem180,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_78_repetition_0/energibridge.log,1.4216115407943726,0.65681267,1.422,0
run_79_repetition_0,DONE,sol1_problem180/sol1_problem180_G3.py,0.45,0,2.229,2.385,2.151,12.934,38.632,results_1,sol1_problem180,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_79_repetition_0/energibridge.log,0.4495729072093963,0.2300953,0.45,0
run_80_repetition_0,DONE,sol1_problem180/sol1_problem180_G4.py,0.941,0,2.295,2.442,2.247,15.175,38.662,results_1,sol1_problem180,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_80_repetition_0/energibridge.log,0.9413297588825223,0.4377706,0.941,0
run_81_repetition_0,DONE,sol1_problem180/sol1_problem180_G6.py,0.921,0,2.246,2.388,2.199,19.936,38.678,results_1,sol1_problem180,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_81_repetition_0/energibridge.log,0.921184252500534,0.4384349,0.921,0
