run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec,is_outlier,energy_z_score,energy_normalized,baseline_energy_run,pct_vs_baseline_run,efficiency_ratio,calculated_power,power_final
run_41_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G3.py,0.521,0,2.517,2.517,2.517,17.828,38.319,results_1,linear_discriminant_analysis,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_41_repetition_0/energibridge.log,0.5210878880023956,0.22485684,0.521,0,FALSE,-0.28447167712043975,0.07407407407407415,0.571,-8.756567425569166,0.9124343257443084,2.3170298043857596,2.517
run_42_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G4.py,0.518,0,2.576,2.576,2.576,16.857,38.328,results_1,linear_discriminant_analysis,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_42_repetition_0/energibridge.log,0.5178425109386444,0.21728772,0.518,0,FALSE,-0.32642915162197955,0.06851851851851859,0.571,-9.281961471103317,0.9071803852889668,2.3839359168571517,2.576
run_43_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G6.py,0.692,0,3.296,3.296,3.296,25.072,38.32,results_1,linear_discriminant_analysis,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_43_repetition_0/energibridge.log,0.6920933103561401,0.22860654,0.692,0,FALSE,2.1071043694673244,0.3907407407407407,0.571,21.19089316987741,1.2119089316987741,3.02703500958459,3.296
run_44_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G7.py,0.54,0,2.681,2.685,2.672,18.626,38.368,results_1,linear_discriminant_analysis,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_44_repetition_0/energibridge.log,0.5396815860271454,0.21520792,0.54,0,FALSE,-0.018741005277354526,0.10925925925925938,0.571,-5.429071803852876,0.9457092819614712,2.5092013342259896,2.681
run_45_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G9.py,0.537,0,2.571,2.571,2.571,18.929,38.362,results_1,linear_discriminant_analysis,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_45_repetition_0/energibridge.log,0.5372456901073456,0.2251815,0.537,0,FALSE,-0.060698479778894296,0.10370370370370381,0.571,-5.954465849387026,0.9404553415061297,2.3847429740009725,2.571
run_46_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_OPTIMIZED.py,0.525,0,2.588,2.588,2.588,14.996,38.364,results_1,linear_discriminant_analysis,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_46_repetition_0/energibridge.log,0.5253229696750641,0.2229177,0.525,0,FALSE,-0.2285283777850534,0.08148148148148157,0.571,-8.056042031523631,0.9194395796847636,2.3551292696811426,2.588
run_47_repetition_0,DONE,n_body_simulation/n_body_simulation.py,1.044,0,2.533,2.533,2.533,20.06,38.356,results_1,n_body_simulation,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_47_repetition_0/energibridge.log,1.0435950145721435,0.42943946,1.044,0,FALSE,-0.3257294770862482,0.029979559391324094,1.044,0,1,2.4310760822957445,2.533
run_48_repetition_0,DONE,n_body_simulation/n_body_simulation_G1.py,1.004,0,2.401,2.401,2.401,17.052,38.389,results_1,n_body_simulation,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_48_repetition_0/energibridge.log,1.0035465540885924,0.4329483,1.004,0,FALSE,-0.3656779029131682,0.02089484442425618,1.044,-3.831417624521076,0.9616858237547893,2.318983583028274,2.401
run_49_repetition_0,DONE,n_body_simulation/n_body_simulation_G12.py,4.302,0,2.93,3.395,2.559,37.962,38.883,results_1,n_body_simulation,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_49_repetition_0/energibridge.log,4.302386816740035,1.4960301,4.302,0,FALSE,2.9280698065163793,0.769929593459005,1.044,312.06896551724134,4.120689655172414,2.875610590990114,2.93
run_50_repetition_0,DONE,n_body_simulation/n_body_simulation_G14.py,1.009,0,2.409,2.409,2.409,21.024,38.393,results_1,n_body_simulation,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_50_repetition_0/energibridge.log,1.009350687265396,0.43435892,1.009,0,FALSE,-0.36068434968480334,0.022030433795139644,1.044,-3.3524904214559523,0.9664750957854404,2.322963690949411,2.409
